symbol,model,folds,observations,mean_directional_accuracy,mean_mae,mean_mse,mean_r2,mean_rmse
AAPL,gradient_boosting_regression,22,1386,0.46681096681096684,0.022212124930699136,0.0008527662234925473,-1.559725437979865,0.026783065078160775
AAPL,linear_regression,22,1386,0.5245310245310245,0.016748886133182758,0.0005951539508797174,-0.4079146353922194,0.021693583833661444
AAPL,lstm,22,1386,0.518037518037518,0.030232299005566933,0.0017845432211703836,-3.6370816156331567,0.038010843159552554
AAPL,naive_regression,22,1386,0.002886002886002886,0.013780161633599653,0.0003820644982938193,-0.024076139217992565,0.01837726173103235
MSFT,gradient_boosting_regression,22,1386,0.4797979797979798,0.020012921429465844,0.0006831124078731043,-1.466254690452437,0.024449280439396127
MSFT,linear_regression,22,1386,0.512987012987013,0.017776065948166633,0.000671578377215513,-0.6705177222874458,0.022233778337348565
MSFT,lstm,22,1386,0.5173160173160173,0.03372792393392654,0.0022818711816414267,-9.30917036359076,0.04227627993838726
MSFT,naive_regression,22,1386,0.002886002886002886,0.013044322216765854,0.00034695759985570325,-0.016616332685512436,0.01736587931007769
NVDA,gradient_boosting_regression,22,1386,0.4935064935064935,0.03404289035737921,0.0020188759406463003,-1.1425393536752857,0.043267631509586395
NVDA,linear_regression,22,1386,0.4797979797979798,0.030498291088475682,0.0016252266137434745,-0.5734972202660955,0.03912344950428709
NVDA,lstm,22,1386,0.5144300144300145,0.046048864610500846,0.004222818399637537,-3.542736055933674,0.056662065670994834
NVDA,naive_regression,22,1386,0.0021645021645021645,0.024366386504495498,0.001102051514293476,-0.025177152989406714,0.032244293233763384
SPY,gradient_boosting_regression,22,1386,0.4653679653679653,0.011820543506382867,0.0002687888564399037,-1.3313249868699495,0.014839830802492427
SPY,linear_regression,22,1386,0.47763347763347763,0.012657998011763878,0.0003880522691415128,-1.0682033733140164,0.016127627107861378
SPY,lstm,22,1386,0.5021645021645021,0.027347302983599234,0.0020729940776739344,-10.93813394978778,0.03364949776488327
SPY,naive_regression,22,1386,0.001443001443001443,0.008508370338102046,0.0001649967855672315,-0.016521526371176966,0.01137175752219524
